,0
518,2.36
519,3.56
520,1.81
521,-0.69
522,-4.41
523,5.87
524,4.64
525,3.72
526,-5.57
527,0.49
528,2.08
529,4.68
530,-5.07
531,3.99
532,1.52
533,-0.12
534,4.49
535,3.69
536,-2.71
537,-2.08
538,5.38
539,2.87
540,-1.6
541,5.05
542,4.77
543,0.03
544,2.99
545,5.83
546,-0.69
547,5.66
548,2.98
549,-1.85
550,4.41
551,1.73
552,-2.64
553,2.83
554,-2.74
555,3.11
556,-2.78
557,2.75
558,4.82
559,4.66
560,4.04
561,4.98
562,1.15
563,0.19
564,4.81
565,6.3
566,6.11
567,-0.54
568,3.01
569,3.96
570,2.25
571,-0.43
572,2.91
573,1.95
574,-4.65
575,2.98
576,3.22
577,1.8
578,2.37
579,4.88
580,2.59
581,5.26
582,3.38
583,3.11
584,1.8
585,0.5
586,-2.18
587,2.38
588,3.07
589,3.23
590,-2.93
591,0.57
592,1.48
593,5.59
594,-0.92
595,3.62
596,1.21
597,1.35
598,3.91
599,1.06
600,3.11
601,4.69
602,0.62
603,3.02
604,0.74
605,2.84
606,-0.97
607,-2.5
608,-7.02
609,5.0
610,-0.01
611,0.76
612,1.6
613,3.55
614,1.8
615,3.27
616,3.95
617,2.59
618,2.28
619,1.82
620,-0.49
621,1.76
622,3.38
623,-3.58
624,-2.67
625,0.91
626,1.12
627,3.4
628,4.03
629,3.55
630,0.93
631,4.02
632,0.39
633,2.07
634,3.38
635,2.67
636,1.11
637,3.87
638,1.91
639,0.51
640,2.88
641,0.84
642,1.04
643,2.32
644,-0.65
645,1.53
646,4.96
647,5.25
648,1.01
649,5.11
650,0.73
651,0.62
652,0.28
653,3.86
654,-0.33
655,3.06
656,5.38
657,3.34
658,1.33
659,5.63
660,3.95
661,4.15
662,5.45
663,-2.42
664,2.9
665,-0.29
666,-1.78
667,7.4
668,0.21
669,4.67
670,1.64
671,3.77
672,-3.4
673,2.17
674,2.37
675,2.92
676,-4.44
677,3.78
678,3.57
679,-0.94
680,-1.6
681,0.65
682,3.35
683,1.58
684,-5.74
685,4.45
686,1.53
687,5.0
688,10.37
689,-2.6
690,5.56
691,5.06
692,-0.78
693,5.63
694,0.81
695,1.88
696,0.78
697,-4.12
698,1.22
699,-4.87
700,5.25
701,1.9
702,2.92
703,0.81
704,0.72
705,1.39
706,1.15
707,2.04
708,2.6
709,1.73
710,-0.64
711,3.4
712,3.48
713,4.22
714,-1.91
715,1.89
716,1.48
717,0.54
718,5.98
719,1.16
720,-0.35
721,4.77
722,3.78
723,0.99
724,3.1
725,5.08
726,-2.87
727,2.27
728,1.52
729,4.24
730,3.24
731,-0.1
732,-3.76
733,3.86
734,3.45
735,3.51
736,-1.25
737,1.96
738,1.65
739,-1.4
740,5.24
741,1.41
742,4.84
743,3.42
744,4.4
745,1.33
746,-1.95
747,5.29
748,4.05
749,2.79
750,2.51
751,2.19
752,1.03
753,3.43
754,3.04
755,-0.14
756,2.04
757,2.69
758,-1.51
759,1.64
760,-4.86
761,2.94
762,3.69
763,-4.69
764,-0.99
765,2.48
766,2.45
767,0.78
768,4.2
769,-1.83
770,-1.45
771,3.25
772,-0.9
773,2.32
774,3.15
775,-0.81
776,0.12
777,-1.33
778,4.45
779,0.79
780,-0.86
781,2.58
782,-6.12
783,1.94
784,0.38
785,3.95
786,-0.9
787,2.19
788,2.57
789,3.34
790,-7.71
791,5.25
792,-0.07
793,-1.59
794,2.12
795,0.66
796,2.28
797,5.0
798,-5.08
799,2.69
800,2.16
801,-0.18
802,3.66
803,2.6
804,4.15
805,2.39
806,1.6
807,2.06
808,5.3
809,2.05
810,1.26
811,-0.04
812,2.87
813,-1.74
814,2.03
815,3.41
816,4.4
817,1.61
818,0.68
819,0.42
820,3.87
821,2.26
822,3.76
823,7.93
824,2.58
825,1.61
826,3.3
827,4.88
828,3.66
829,-5.57
830,3.11
831,3.08
832,4.86
833,1.84
834,1.31
835,4.2
836,4.39
837,4.17
838,3.51
839,3.14
840,1.21
841,3.29
842,2.21
843,2.33
844,-1.21
845,3.3
846,0.9
847,0.56
848,-1.56
849,0.09
850,-0.84
851,2.88
852,4.61
853,4.74
854,-0.35
855,4.46
856,0.77
857,2.45
858,1.84
859,3.97
860,1.27
861,2.71
862,3.07
863,-0.03
864,8.94
865,2.96
866,0.17
867,2.84
868,-5.19
869,1.78
870,3.36
871,3.3
872,0.85
873,4.45
874,5.35
875,5.56
876,2.88
877,0.16
878,3.63
879,3.44
880,3.53
881,-0.62
882,0.22
883,3.16
884,4.73
885,2.98
886,6.37
887,-5.48
888,6.14
889,-2.27
890,0.99
891,-0.72
892,0.31
893,-2.3
894,-3.3
895,-0.79
896,3.02
897,7.38
898,0.74
899,-1.25
900,-0.04
