,MSE,RMSE,Pearson,Pearson_pval,Spearman,Spearman_pval,Concordance_Index
1,1.464,1.21,0.9009,0.0,0.8716,0.0,0.8492
0,1.5251,1.235,0.9017,0.0,0.8725,0.0,0.8491
